Rank	Prob.OfTerm
1	0.9945911836293158
2	0.830253312900027
3	0.5880284864328856
4	0.4153069503290363
5	0.3416569007482196
6	0.3360677904985126
7	0.3135310556206617
8	0.2889209411340485
9	0.2888307941945371
10	0.2863968268277292
11	0.27233390426395027
12	0.20021635265482737
13	0.17921211574867033
14	0.16505904624537998
15	0.1461281889479852
16	0.12638600919498783
17	0.11466690705850537
18	0.11169205805462905
19	0.11142161723609484
20	0.10970882538537817
21	0.10826647435319571
22	0.10673397638150185
23	0.10511133147029658
24	0.10177589470837466
25	0.09889119264400974
26	0.09113855584602902
27	0.08897502929775535
28	0.08663120887045885
29	0.0856395925358334
30	0.08419724150365095
31	0.08212386189488867
32	0.07770666185882989
33	0.07599387000811322
34	0.07121608221400884
35	0.07085549445596322
36	0.07058505363742901
37	0.06977373118182638
38	0.06508609032723339
39	0.06481564950869918
40	0.06373388623456233
41	0.05580095555755882
42	0.05354728206977373
43	0.04976111061029478
44	0.04822861263860092
45	0.04723699630397548
46	0.04696655548544127
47	0.046425673848372845
48	0.04507346975570179
49	0.04507346975570179
50	0.04498332281619039
51	0.04426214730009916
52	0.04408185342107635
53	0.042278914630848284
54	0.042008473812314075
55	0.04173803299377986
56	0.04146759217524565
57	0.04119715135671144
58	0.041107004417200034
59	0.040025241143063196
60	0.03966465338501758
61	0.039394212566483365
62	0.03921391868746056
63	0.039123771747949156
64	0.03894347786892635
65	0.03786171459478951
66	0.03786171459478951
67	0.03668980438114126
68	0.03641936356260705
69	0.03506715946993599
70	0.033985396195799156
71	0.03389524925628775
72	0.03362480843775354
73	0.033264220679707926
74	0.0326331921031281
75	0.03245289822410529
76	0.032362751284593885
77	0.03200216352654827
78	0.03191201658703687
79	0.031371134949968446
80	0.03092040025241143
81	0.030830253312900027
82	0.030830253312900027
83	0.029748490038763183
84	0.029568196159740375
85	0.02839628594609213
86	0.028035698188046517
87	0.028035698188046517
88	0.02794555124853511
89	0.02785540430902371
90	0.027584963490489497
91	0.027494816550978095
92	0.02740466961146669
93	0.027224375732443882
94	0.02713422879293248
95	0.027044081853421078
96	0.026683494095375463
97	0.026052465518795635
98	0.025782024700261426
99	0.025691877760750024
100	0.025060849184170196
101	0.024519967547101777
102	0.024519967547101777
103	0.024519967547101777
104	0.024429820607590372
105	0.024249526728567564
106	0.024159379789056162
107	0.024069232849544757
108	0.023979085910033355
109	0.023979085910033355
110	0.023979085910033355
111	0.02388893897052195
112	0.02361849815198774
113	0.023528351212476338
114	0.023438204272964933
115	0.023257910393942125
116	0.023257910393942125
117	0.022717028756873703
118	0.02208600018029388
119	0.021995853240782477
120	0.02190570630127107
121	0.02190570630127107
122	0.021274677724691247
123	0.021004236906157037
124	0.02082394302713423
125	0.020733796087622824
126	0.020192914450554402
127	0.020012620571531598
128	0.019742179752997385
129	0.019652032813485983
130	0.019561885873974578
131	0.019561885873974578
132	0.019471738934463176
133	0.01938159199495177
134	0.01929144505544037
135	0.019201298115928963
136	0.019021004236906155
137	0.018750563418371946
138	0.018660416478860544
139	0.018660416478860544
140	0.01857026953934914
141	0.018119534841792122
142	0.017939240962769314
143	0.017668800144235105
144	0.017668800144235105
145	0.017668800144235105
146	0.0175786532047237
147	0.017218065446678085
148	0.016947624628143875
149	0.016947624628143875
150	0.016767330749121068
151	0.016677183809609662
152	0.016496889930586858
153	0.01631659605156405
154	0.016226449112052645
155	0.016136302172541243
156	0.016046155233029838
157	0.016046155233029838
158	0.015956008293518436
159	0.015956008293518436
160	0.015956008293518436
161	0.01577571441449563
162	0.01577571441449563
163	0.015685567474984223
164	0.015595420535472821
165	0.015595420535472821
